LE,CUSTOMERACCOUNT,ADDRESSZIPCODE
NA1,11619945,10011
NA1,11619950,10001
NA1,11619952,10007
NA1,11619955,10005
NA1,11619961,10012
NA1,11619963,10018
NA1,11619965,10018
NA1,11619967,10018
NA1,11619970,10005
NA1,11619976,10005
NA1,11619985,10005
NA1,11619990,10017
NA1,11619992,10001
NA1,11619995,10005
NA1,11619997,10017
NA1,11619999,10005
NA1,11620000,10007
NA1,11620004,10021
NA1,11620009,10032
NA1,11620011,10005
NA1,11620012,10007
NA1,11620015,10001
NA1,11620022,12004
MZ1,11547352,1101
MZ1,11548191,1100
MZ1,11549879,1100
MZ1,11557561,1109
MZ1,11559624,1115
MZ1,11559899,1100
MZ1,11560423,1114
MZ1,11561527,1100
MZ1,11561549,1100
MZ1,11562974,1100
MZ1,11563197,1100
MZ1,11563313,1100
MZ1,11563666,1100
MZ1,11563967,1100
MZ1,11564101,1100
MZ1,11564175,1100
MZ1,11564177,1101
MZ1,11564285,1104
MZ1,11564870,1101
MZ1,11565300,1121
MZ1,11566508,1100
MZ1,11567003,1100
MZ1,11568907,1100
MZ1,11568955,1104
MZ1,11569552,1104
MZ1,11569562,1114
MZ1,11571636,1123
MZ1,11571912,1100
MZ1,11571914,1114
MZ1,11571962,1114
MZ1,11571966,1100
MZ1,11573628,1100
MZ1,11575687,1114
MZ1,11575768,1100
MZ1,11575921,1100
MZ1,11575968,1114
MZ1,11576012,1100
MZ1,11576255,1100
MZ1,11576466,1100
MZ1,11576499,1100
MZ1,11576521,1100
MZ1,11576535,1100
MZ1,11576573,1114
MZ1,11576609,1100
MZ1,11576618,1100
MZ1,11576642,1114
MZ1,11576707,1100
MZ1,11576722,1100
MZ1,11576741,1100
MZ1,11576856,1100
MZ1,11576906,1100
MZ1,11577179,1100
MZ1,11577443,1100
MZ1,11577454,1100
MZ1,11577529,1120
MZ1,11577546,1100
MZ1,11577695,1100
MZ1,11578127,1100
MZ1,11578411,1100
MZ1,11578523,1100
MZ1,11578835,1100
MZ1,11579100,1100
MZ1,11579140,1100
MZ1,11579181,1100
MZ1,11579572,1100
MZ1,11579576,2113
MZ1,11579580,2103
MZ1,11579582,2100
MZ1,11579737,1100
MZ1,11579846,1115
MZ1,11579864,1114
MZ1,11579936,1100
MZ1,11579967,1100
MZ1,11580072,1115
MZ1,11580155,1100
MZ1,11580518,1100
MZ1,11580628,1100
MZ1,11580804,1204
MZ1,11580862,1115
MZ1,11580918,1123
MZ1,11581035,1100
MZ1,11581040,1100
MZ1,11581047,1121
MZ1,11581102,1100
MZ1,11581104,1100
MZ1,11581542,1114
MZ1,11581585,1100
MZ1,11582590,2205
MZ1,11582634,2100
MZ1,11583289,1100
MZ1,11584280,1100
MZ1,11584526,2100
MZ1,11585723,2300
MZ1,11586930,2410
MZ1,11587802,2400
MZ1,11587804,3100
MZ1,11587806,3100
MZ1,11587808,3100
MZ1,11588229,2203
MZ1,11588237,2303
MZ1,11590685,1302
MZ1,11590687,1203
MZ1,11590689,1301
MZ1,11590693,1100
MZ1,11590696,1301
MZ1,11590699,1304
MZ1,11592857,1100
MZ1,11594035,2207
MZ1,11594737,1100
MZ1,11594814,2100
MZ1,11595651,2100
MZ1,11596519,1100
MZ1,11596803,1100
MZ1,11596995,1203
MZ1,11597303,1100
MZ1,11598360,3100
MZ1,11598362,3205
MZ1,11598653,1100
MZ1,11598656,1100
MZ1,11598716,1100
MZ1,11599443,3205
MZ1,11599480,1100
MZ1,11599618,1100
MZ1,11599983,3100
MZ1,11601277,3216
MZ1,11601855,1100
MZ1,11603655,1100
MZ1,11603715,1100
MZ1,11603727,1100
MZ1,11604356,1100
MZ1,11604360,3100
MZ1,11604849,3100
MZ1,11604853,2403
MZ1,11604860,3205
MZ1,11604864,3100
MZ1,11604869,2403
MZ1,11604878,3300
MZ1,11605345,3100
MZ1,11605353,1203
MZ1,11605355,1311
MZ1,11605357,1312
MZ1,11605361,1200
MZ1,11605363,1303
MZ1,11605367,1301
MZ1,11605369,1304
MZ1,11605377,1100
MZ1,11605380,1307
MZ1,11605406,1100
MZ1,11605914,1100
MZ1,11607834,1100
MZ1,11608267,3100
MZ1,11608414,1100
MZ1,11608431,3100
MZ1,11608505,1100
MZ1,11608612,1100
MZ1,11608643,1100
MZ1,11608644,3100
MZ1,11608714,3219
MZ1,11608945,1100
MZ1,11609029,1100
MZ1,11609120,1100
MZ1,11609140,1100
MZ1,11609173,1100
MZ1,11609175,1100
MZ1,11609351,3100
MZ1,11609410,3102
MZ1,11609412,3100
MZ1,11609433,2400
MZ1,11609463,2400
MZ1,11609469,3120
UG1,12015776,40911
UG1,12016215,40911
UG1,12016243,40911
UG1,12016723,40911
UG1,12016747,40911
UG1,12016748,40911
UG1,12016799,40911
UG1,12017060,40911
UG1,12017377,40911
UG1,12017720,40911
UG1,12017724,40911
UG1,12021837,40911
UG1,12022738,40911
UG1,12022771,40911
UG1,12022842,40911
UG1,12022923,40911
UG1,12023122,40911
UG1,12023230,40911
UG1,12023360,40911
UG1,12023532,40911
UG1,12023560,40911
UG1,12024301,40911
UG1,12024549,40911
UG1,12025009,40911
UG1,12025295,40911
UG1,12025303,40911
UG1,12026254,40911
UG1,12027065,40911
UG1,12027099,40911
UG1,12027205,40911
UG1,12027288,40911
UG1,12027600,40911
UG1,12027703,40911
UG1,12027934,40911
UG1,12027973,40911
UG1,12027999,40911
UG1,12028005,40911
UG1,12028063,40911
UG1,12028135,40911
UG1,12028162,40911
UG1,12028277,40911
UG1,12028310,40911
UG1,12028354,40911
UG1,12028355,40911
UG1,12028372,40911
UG1,12028375,40911
UG1,12028383,40911
UG1,12028426,40911
UG1,12028435,40911
UG1,12028438,40911
UG1,12028464,40911
UG1,12028477,40911
UG1,12028480,40911
UG1,12028485,40911
UG1,12028490,40911
UG1,12028505,40911
UG1,12028523,40911
UG1,12028552,40911
UG1,12028556,40911
UG1,12028560,40911
UG1,12028592,40911
UG1,12028601,40911
UG1,12028627,40911
UG1,12028632,40911
UG1,12028636,40911
UG1,12028676,40911
UG1,12028684,40911
UG1,12028699,40911
UG1,12028717,40911
UG1,12028719,40911
UG1,12028755,40911
UG1,12028762,40911
UG1,12028798,40911
UG1,12028812,40911
UG1,12028935,40911
UG1,12028941,40911
UG1,12028945,40911
UG1,12028949,40911
UG1,12028984,40911
UG1,12029017,40911
UG1,12030987,40911
UG1,12031051,40911
UG1,12031221,40911
UG1,12031313,40911
UG1,12031464,40911
UG1,12031500,40911
UG1,12031502,40911
